Identificador,Área Construida (metros cuadrados),Área Privada (metros cuadrados),Habitaciones,Baños,Estrato,Parqueaderos,Antigüedad,Administración,Piso N°,Estado,Cantidad de pisos,Latitud,Longitud,Precio
191707722,53.0,,3,2,3,1,1 a 8 años,162500.0,,Usado,,4.4513286231022,-75.145226838067,587500
192833753,63.0,58.0,3,2,3,1,1 a 8 años,206400.0,,Usado,,4.4530625361833,-75.203765630722,980000
192773032,90.0,90.0,3,2,6,1,9 a 15 años,380000.0,5,Usado,,4.4467302113487,-75.188477039337,2400000
192835459,42.0,42.0,2,1,2,,1 a 8 años,125000.0,,Usado,,4.4265273,-75.1774323,625000
192837416,90.0,82.0,3,2,4,1,1 a 8 años,422000.0,,Usado,,4.4457240673077,-75.233808048069,1378000
192880810,49.0,,2,2,3,,1 a 8 años,220000.0,,Usado,,4.4497190813049,-75.143250853167,550000
192864754,65.0,65.0,3,2,4,1,,,9,A estrenar,,4.4097192537264,-75.169615745544,1350000
192689744,212.0,212.0,4,4,5,2,1 a 8 años,,2,Usado,,4.4548702337828,-75.194254517555,5500000
192807929,60.0,60.0,3,2,3,1,9 a 15 años,218200.0,,Usado,,4.4466229116676,-75.172883514315,950000
192866320,112.0,61.0,3,3,4,2,1 a 8 años,445500.0,,Usado,,4.4400501914507,-75.202660560608,3504500
192712536,94.0,84.0,3,2,4,1,1 a 8 años,466000.0,,Usado,,4.4400254554759,-75.199466720223,2534000
192808008,55.0,55.0,3,2,3,1,1 a 8 años,207500.0,,Usado,,4.4323945348373,-75.179664138705,742500
192883421,75.0,75.0,3,1,3,,más de 30 años,,,Usado,,4.437305,-75.225185,950000
192246994,74.0,74.0,3,2,3,1,1 a 8 años,239500.0,,,,4.4255454,-75.1778643,1060500
192155271,65.0,65.0,3,2,2,1,1 a 8 años,,2,,,4.3924753677863,-75.140519142151,200000
192444184,75.0,75.0,3,1,3,,9 a 15 años,,,Usado,,4.44108375555,-75.222452029224,900000
192883130,56.0,50.0,3,2,3,1,menor a 1 año,235000.0,,Usado,,4.40878,-75.16941,1065000
192835468,56.0,56.0,3,2,3,,menor a 1 año,187591.0,,Usado,,4.4217770752068,-75.171541607904,972409
192747553,69.0,65.0,3,2,3,1,1 a 8 años,330000.0,,Usado,,4.4078178,-75.1634725,789000
192802979,61.0,57.0,3,2,3,1,1 a 8 años,184000.0,,Usado,,4.410013,-75.169859,1140000
192725906,56.0,56.0,3,2,4,1,,190000.0,2,A estrenar,,4.4101631822371,-75.170001983643,1300000
192712537,42.0,41.0,3,1,3,,9 a 15 años,,,Usado,,4.450532821731,-75.14365196228,850000
192835440,63.0,60.0,3,2,3,1,1 a 8 años,196000.0,,Usado,,4.426997513032,-75.172644554492,894000
192701583,60.0,60.0,3,2,3,1,9 a 15 años,190000.0,,,,4.4474568,-75.1527595,710000
192667146,66.0,55.0,3,2,3,1,1 a 8 años,160000.0,,Usado,,4.432456370876,-75.181154588043,1140000
192712224,60.0,60.0,2,2,4,1,16 a 30 años,242000.0,,Usado,,4.4402667986557,-75.205204440745,1258000
192869741,50.0,50.0,2,1,2,1,1 a 8 años,,3,Usado,,4.3893372,-75.1418154,1200000
192837618,56.0,56.0,2,2,3,,menor a 1 año,,7,Usado,,4.4189575,-75.1701309,1000000
192476042,66.0,66.0,3,2,4,,1 a 8 años,,24,Usado,5,4.4359601152645,-75.206928976057,1450000
