Identificador,Área Construida (metros cuadrados),Área Privada (metros cuadrados),Habitaciones,Baños,Estrato,Parqueaderos,Antigüedad,Administración,Piso N°,Estado,Cantidad de pisos,Latitud,Longitud,Precio
10868853,59.0,59.0,3,2,3,1,9 a 15 años,,5,,,4.446612,-75.1526,780000
191221708,73.0,68.0,3,2,4,1,1 a 8 años,,14,,14,4.4178738,-75.1825584,1200000
191846182,60.0,60.0,3,2,3,1,menor a 1 año,,12,Usado,12,4.4332639688158,-75.180303458023,1050000
10843004,67.0,67.0,3,2,3,1,9 a 15 años,,5,,,4.44610981173033,-75.1548547289851,850000
10870508,110.0,110.0,4,2,3,,16 a 30 años,,3,,,4.44356315787229,-75.2109801510533,900000
10869118,52.0,52.0,2,2,3,1,1 a 8 años,140000.0,3,,,4.42160628400276,-75.1712565869084,900000
10865233,43.0,43.0,2,1,2,1,menor a 1 año,,1,,,4.39799506264465,-75.1482916893745,600000
192779089,52.0,48.0,2,1,3,,1 a 8 años,,5,Usado,,4.3902751,-75.1406345,570000
192837618,56.0,56.0,2,2,3,,menor a 1 año,,7,Usado,,4.4189575,-75.1701309,1000000
191718122,60.0,,3,2,4,1,1 a 8 años,,9,,9,4.4179901,-75.1788817,1200000
10858879,62.0,62.0,2,2,3,1,menor a 1 año,,8,,,4.42445967771127,-75.180816599252,1100000
